outlet,group,estimated_country,domain_country,basis,broad,both,only_pair,only_pair_specific,specific_kenya
scol.com.cn,Chinese,CH,CH,estimate_domain_agree,3,3,0,0,1
sdnews.com.cn,Chinese,CH,CH,estimate_domain_agree,3,3,0,0,2
thediplomat.com,Chinese,CH,,estimate_only,3,3,0,0,1
traveldailynews.asia,Chinese,CH,,estimate_only,3,1,0,0,0
wxrb.com,Chinese,CH,,estimate_only,3,3,0,0,2
aircargonews.net,Chinese,CH,,estimate_only,2,0,0,0,2
alwihdainfo.com,Chinese,CH,,estimate_only,2,1,0,0,1
anhuinews.com,Chinese,CH,,estimate_only,2,2,0,0,1
bjreview.com.cn,Chinese,CH,CH,estimate_domain_agree,2,2,0,0,1
caijing.com.cn,Chinese,CH,CH,estimate_domain_agree,2,1,0,0,0
cfi.net.cn,Chinese,CH,CH,estimate_domain_agree,2,2,0,0,0
changsha.cn,Chinese,CH,CH,estimate_domain_agree,2,2,0,0,0
chinaview.cn,Chinese,,CH,domain_only,2,0,0,0,1
citnews.com.cn,Chinese,CH,CH,estimate_domain_agree,2,2,1,0,0
cqnews.net,Chinese,CH,,estimate_only,2,2,0,0,1
dangjian.cn,Chinese,CH,CH,estimate_domain_agree,2,2,0,0,0
gzstv.com,Chinese,CH,,estimate_only,2,2,0,0,0
hkcd.com,Chinese,CH,,estimate_only,2,2,0,0,0
just-style.com,Chinese,CH,,estimate_only,2,1,0,0,1
jxnews.com.cn,Chinese,CH,CH,estimate_domain_agree,2,2,0,0,1
minghui.org,Chinese,CH,,estimate_only,2,2,0,0,0
newsecuritybeat.org,Chinese,CH,,estimate_only,2,1,0,0,0
ntdtv.com,Chinese,CH,,estimate_only,2,2,0,0,0
rednet.cn,Chinese,CH,CH,estimate_domain_agree,2,2,1,0,0
telecomasia.net,Chinese,CH,,estimate_only,2,0,0,0,0
voachinese.com,Chinese,CH,,estimate_only,2,2,0,0,1
womenofchina.cn,Chinese,CH,CH,estimate_domain_agree,2,2,0,0,1
xmnn.cn,Chinese,CH,CH,estimate_domain_agree,2,2,0,0,1
youth.cn,Chinese,CH,CH,estimate_domain_agree,2,2,0,0,1
21-sun.com,Chinese,CH,,estimate_only,1,1,1,0,0
3dmgame.com,Chinese,CH,,estimate_only,1,0,0,0,0
4hoteliers.com,Chinese,CH,,estimate_only,1,1,0,0,0
androidheadlines.com,Chinese,CH,,estimate_only,1,1,0,0,0
asianews.network,Chinese,CH,,estimate_only,1,1,0,0,0
baidu.com,Chinese,CH,,estimate_only,1,1,0,0,0
bandao.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
bbtnews.com.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
caixin.com,Chinese,CH,,estimate_only,1,1,0,0,0
cbg.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
cctv.com,Chinese,CH,,estimate_only,1,1,0,0,0
centralbanking.com,Chinese,CH,,estimate_only,1,0,0,0,1
chinadigitaltimes.net,Chinese,CH,,estimate_only,1,1,0,0,1
chinamil.com.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
chinaz.com,Chinese,CH,,estimate_only,1,1,0,0,0
ckgsb.edu.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
cnnb.com.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
cs.com.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
dealstreetasia.com,Chinese,CH,,estimate_only,1,0,0,0,0
dnkb.com.cn,Chinese,CH,CH,estimate_domain_agree,1,0,0,0,0
economonitor.com,Chinese,CH,,estimate_only,1,0,0,0,0
eeo.com.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
fanabc.com,Chinese,CH,,estimate_only,1,1,0,0,0
fareasternagriculture.com,Chinese,CH,,estimate_only,1,0,0,0,0
farmlandgrab.org,Chinese,CH,,estimate_only,1,0,0,0,0
fxstreet.com,Chinese,CH,,estimate_only,1,0,0,0,0
gsmarena.com,Chinese,CH,,estimate_only,1,1,0,0,0
hkej.com,Chinese,CH,,estimate_only,1,1,0,0,0
huawei.com,Chinese,CH,,estimate_only,1,0,0,0,0
hunan.gov.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
insideretail.asia,Chinese,CH,,estimate_only,1,1,0,0,0
jjxw.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,1
payloadasia.com,Chinese,CH,,estimate_only,1,0,0,0,1
peopleapp.com,Chinese,CH,,estimate_only,1,1,0,0,0
phonearena.com,Chinese,CH,,estimate_only,1,0,0,0,0
prnasia.com,Chinese,CH,,estimate_only,1,0,0,0,0
qhrb.com.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,1
qianzhan.com,Chinese,CH,,estimate_only,1,1,0,0,0
scirp.org,Chinese,CH,,estimate_only,1,0,0,0,0
sootoo.com,Chinese,CH,,estimate_only,1,0,0,0,0
strategypage.com,Chinese,CH,,estimate_only,1,0,0,0,0
tj.gov.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
tynews.com.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
voacantonese.com,Chinese,CH,,estimate_only,1,1,0,0,0
xhby.net,Chinese,CH,,estimate_only,1,1,0,0,1
xnnews.com.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
xxcb.cn,Chinese,CH,CH,estimate_domain_agree,1,1,0,0,0
yicai.com,Chinese,CH,,estimate_only,1,1,0,0,0
zsnews.cn,Chinese,CH,CH,estimate_domain_agree,1,1,1,0,0
standardmedia.co.ke,Local,KE,KE,estimate_domain_agree,137,77,20,16,55
capitalfm.co.ke,Local,KE,KE,estimate_domain_agree,88,26,14,13,25
the-star.co.ke,Local,KE,KE,estimate_domain_agree,56,18,5,3,13
kachwanya.com,Local,KE,,estimate_only,46,31,7,3,14
tuko.co.ke,Local,KE,KE,estimate_domain_agree,42,8,4,2,4
techweez.com,Local,KE,,estimate_only,23,2,1,0,0
kenyan-post.com,Local,KE,,estimate_only,14,1,0,0,1
kbc.co.ke,Local,KE,KE,estimate_domain_agree,5,2,1,1,2
techmoran.com,Local,KE,,estimate_only,5,3,0,0,1
kenyans.co.ke,Local,KE,KE,estimate_domain_agree,4,4,1,0,1
ghettoradio.co.ke,Local,KE,KE,estimate_domain_agree,2,1,1,1,1
nairobiwire.com,Local,KE,,estimate_only,2,1,0,0,1
hapakenya.com,Local,KE,,estimate_only,1,1,0,0,0
howwemadeitinafrica.com,Local,KE,,estimate_only,1,1,0,0,0
kahawatungu.com,Local,KE,,estimate_only,1,1,0,0,0
logupdateafrica.com,Local,KE,,estimate_only,1,0,0,0,0
pedaids.org,Local,KE,,estimate_only,1,1,0,0,1
eturbonews.com,Third country,US,,estimate_only,105,105,6,5,51
yahoo.com,Third country,US,,estimate_only,39,39,0,0,12
cameroun24.net,Third country,CM,,estimate_only,36,36,0,0,19
allafrica.com,Third country,NI,,estimate_only,31,31,6,6,18
wort.lu,Third country,LU,LU,estimate_domain_agree,24,24,0,0,0
denik.cz,Third country,EZ,EZ,estimate_domain_agree,19,19,0,0,0
manilatimes.net,Third country,RP,,estimate_only,19,19,0,0,0
indiatimes.com,Third country,IN,,estimate_only,16,16,0,0,4
bignewsnetwork.com,Third country,US,,estimate_only,15,15,4,4,8
inewsgr.com,Third country,GR,,estimate_only,15,15,0,0,3
cnn.com,Third country,US,,estimate_only,14,14,0,0,2
elbrqnews.com,Third country,EG,,estimate_only,14,14,0,0,2
terradaily.com,Third country,US,,estimate_only,14,14,0,0,0
thestar.com.my,Third country,MY,MY,estimate_domain_agree,13,13,5,5,6
foreignpolicy.com,Third country,US,,estimate_only,11,11,0,0,2
nigeriasun.com,Third country,NI,,estimate_only,10,10,0,0,5
dw.com,Third country,GM,,estimate_only,9,9,0,0,3
sierraleonetimes.com,Third country,US,,estimate_only,9,9,1,1,4
cnbcafrica.com,Third country,SF,,estimate_only,8,8,1,1,4
dailymaverick.co.za,Third country,SF,SF,estimate_domain_agree,8,8,0,0,0
shorouknews.com,Third country,EG,,estimate_only,8,8,0,0,3
suncommercial.com,Third country,US,,estimate_only,8,8,0,0,0
thehindu.com,Third country,IN,,estimate_only,8,8,0,0,1
eurasiareview.com,Third country,US,,estimate_only,7,7,0,0,1
larepublica.pe,Third country,PE,PE,estimate_domain_agree,7,7,0,0,0
tass.ru,Third country,RS,RS,estimate_domain_agree,7,7,0,0,1
thisdaylive.com,Third country,NI,,estimate_only,7,7,0,0,2
island.lk,Third country,CE,CE,estimate_domain_agree,6,6,0,0,0
jdsupra.com,Third country,US,,estimate_only,6,6,0,0,0
netscape.com,Third country,US,,estimate_only,6,6,0,0,5
obozrevatel.com,Third country,UP,,estimate_only,6,6,0,0,0
prnewswire.com,Third country,US,,estimate_only,6,6,1,1,3
protothema.gr,Third country,GR,GR,estimate_domain_agree,6,6,0,0,1
sigmalive.com,Third country,CY,,estimate_only,6,6,1,0,1
theguardian.com,Third country,UK,,estimate_only,6,6,0,0,1
aawsat.com,Third country,SY,,estimate_only,5,5,0,0,1
albawabhnews.com,Third country,EG,,estimate_only,5,5,0,0,1
aljazeera.net,Third country,IS,,estimate_only,5,5,0,0,1
bangkokpost.com,Third country,TH,,estimate_only,5,5,0,0,0
birgun.net,Third country,TU,,estimate_only,5,5,0,0,0
bryantimes.com,Third country,US,,estimate_only,5,5,0,0,0
businessmirror.com.ph,Third country,RP,RP,estimate_domain_agree,5,5,0,0,2
